dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,ROC_AUC,PR_AUC
hbase-0.94.0,csbboost,robust,Árbol de Decisión,26,20,18,148,0.5777777777777777,0.5652173913043478,0.5909090909090909,0.8809523809523809,0.1792452830188679,0.669439935064935,0.4595952450199323
hbase-0.94.0,hcbou,standard,SVM,37,106,7,62,0.39572192513368987,0.25874125874125875,0.8409090909090909,0.36904761904761907,0.5330188679245284,0.7780032467532467,0.4744749691467578
hbase-0.94.0,hcbou,standard,Naive Bayes Gaussiano,32,38,12,130,0.5614035087719298,0.45714285714285713,0.7272727272727273,0.7738095238095238,0.2358490566037736,0.7763798701298701,0.4903549086785911
hbase-0.94.0,hcbou,standard,Árbol de Decisión,32,28,12,140,0.6153846153846154,0.5333333333333333,0.7272727272727273,0.8333333333333334,0.18867924528301888,0.8098620129870129,0.5663692246140519
hbase-0.94.0,hcbou,robust,SVM,41,131,3,37,0.37962962962962965,0.23837209302325582,0.9318181818181818,0.22023809523809523,0.6320754716981132,0.7118506493506492,0.4454347765000659
hbase-0.94.0,hcbou,robust,Naive Bayes Gaussiano,44,167,0,1,0.34509803921568627,0.20853080568720378,1.0,0.005952380952380952,0.7877358490566038,0.723349567099567,0.3699682417549591
hbase-0.94.0,hcbou,robust,Árbol de Decisión,32,28,12,140,0.6153846153846154,0.5333333333333333,0.7272727272727273,0.8333333333333334,0.18867924528301888,0.8098620129870129,0.5663692246140519
hbase-0.94.0,smote,standard,SVM,37,102,7,66,0.40437158469945356,0.26618705035971224,0.8409090909090909,0.39285714285714285,0.5141509433962265,0.7619047619047619,0.47666544755381307
hbase-0.94.0,smote,standard,Naive Bayes Gaussiano,20,28,24,140,0.43478260869565216,0.4166666666666667,0.45454545454545453,0.8333333333333334,0.24528301886792453,0.7504734848484849,0.4782409515126911
hbase-0.94.0,smote,standard,Árbol de Decisión,33,31,11,137,0.6111111111111112,0.515625,0.75,0.8154761904761905,0.19811320754716982,0.7755681818181819,0.6596082557783509
hbase-0.94.0,smote,robust,SVM,41,127,3,41,0.3867924528301887,0.24404761904761904,0.9318181818181818,0.24404761904761904,0.6132075471698113,0.7221996753246753,0.4589762362509314
hbase-0.94.0,smote,robust,Naive Bayes Gaussiano,44,167,0,1,0.34509803921568627,0.20853080568720378,1.0,0.005952380952380952,0.7877358490566038,0.7165854978354979,0.36315422593254537
hbase-0.94.0,smote,robust,Árbol de Decisión,33,31,11,137,0.6111111111111112,0.515625,0.75,0.8154761904761905,0.19811320754716982,0.7755681818181819,0.6596082557783509
hive-0.9.0,unbalanced,standard,SVM,27,17,30,210,0.5346534653465347,0.6136363636363636,0.47368421052631576,0.9251101321585903,0.16549295774647887,0.7656696808099543,0.5420742085308412
hive-0.9.0,unbalanced,standard,Naive Bayes Gaussiano,15,5,42,222,0.38961038961038963,0.75,0.2631578947368421,0.9779735682819384,0.16549295774647887,0.7937243991034856,0.5752960672757202
hive-0.9.0,unbalanced,standard,Árbol de Decisión,31,10,26,217,0.6326530612244898,0.7560975609756098,0.543859649122807,0.9559471365638766,0.1267605633802817,0.8635134090733442,0.6851953579284114
hive-0.9.0,unbalanced,robust,SVM,47,221,10,6,0.28923076923076924,0.17537313432835822,0.8245614035087719,0.02643171806167401,0.8133802816901409,0.4561403508771929,0.25209441093052376
hive-0.9.0,unbalanced,robust,Naive Bayes Gaussiano,7,3,50,224,0.208955223880597,0.7,0.12280701754385964,0.986784140969163,0.18661971830985916,0.7779581111368729,0.5297775745004153
hive-0.9.0,unbalanced,robust,Árbol de Decisión,31,10,26,217,0.6326530612244898,0.7560975609756098,0.543859649122807,0.9559471365638766,0.1267605633802817,0.8635134090733442,0.6851953579284114
hive-0.9.0,csbboost,standard,SVM,52,128,5,99,0.4388185654008439,0.28888888888888886,0.9122807017543859,0.43612334801762115,0.46830985915492956,0.8257593322513331,0.587041920034162
hive-0.9.0,csbboost,standard,Naive Bayes Gaussiano,15,7,42,220,0.379746835443038,0.6818181818181818,0.2631578947368421,0.9691629955947136,0.17253521126760563,0.7922559703222813,0.5711009058131569
hive-0.9.0,csbboost,standard,Árbol de Decisión,44,42,13,185,0.6153846153846154,0.5116279069767442,0.7719298245614035,0.8149779735682819,0.1936619718309859,0.7934538990648426,0.6646661897127358
hive-0.9.0,csbboost,robust,SVM,55,176,2,51,0.3819444444444444,0.23809523809523808,0.9649122807017544,0.22466960352422907,0.6267605633802817,0.7949609707087101,0.544662626426199
hive-0.9.0,csbboost,robust,Naive Bayes Gaussiano,9,4,48,223,0.2571428571428571,0.6923076923076923,0.15789473684210525,0.9823788546255506,0.18309859154929578,0.7627328232475462,0.510521614251111
hive-0.9.0,csbboost,robust,Árbol de Decisión,44,42,13,185,0.6153846153846154,0.5116279069767442,0.7719298245614035,0.8149779735682819,0.1936619718309859,0.7934538990648426,0.6646661897127358
hive-0.9.0,hcbou,standard,SVM,29,26,28,201,0.5178571428571429,0.5272727272727272,0.5087719298245614,0.8854625550660793,0.19014084507042253,0.7567045366720767,0.5354415751068023
hive-0.9.0,hcbou,standard,Naive Bayes Gaussiano,14,4,43,223,0.37333333333333335,0.7777777777777778,0.24561403508771928,0.9823788546255506,0.16549295774647887,0.7853002550428935,0.5612201579138285
hive-0.9.0,hcbou,standard,Árbol de Decisión,42,52,15,175,0.5562913907284768,0.44680851063829785,0.7368421052631579,0.7709251101321586,0.23591549295774647,0.7600664657237809,0.6205383781787401
hive-0.9.0,hcbou,robust,SVM,44,57,13,170,0.5569620253164557,0.43564356435643564,0.7719298245614035,0.748898678414097,0.24647887323943662,0.80655382950769,0.5773579294581672
hive-0.9.0,hcbou,robust,Naive Bayes Gaussiano,8,3,49,224,0.23529411764705882,0.7272727272727273,0.14035087719298245,0.986784140969163,0.18309859154929578,0.7752144678877811,0.5285529779646452
hive-0.9.0,hcbou,robust,Árbol de Decisión,42,52,15,175,0.5562913907284768,0.44680851063829785,0.7368421052631579,0.7709251101321586,0.23591549295774647,0.7600664657237809,0.6205383781787401
hive-0.9.0,smote,standard,SVM,35,30,22,197,0.5737704918032787,0.5384615384615384,0.6140350877192983,0.8678414096916299,0.18309859154929578,0.823286189040884,0.5918443966132091
hive-0.9.0,smote,standard,Naive Bayes Gaussiano,17,9,40,218,0.40963855421686746,0.6538461538461539,0.2982456140350877,0.960352422907489,0.17253521126760563,0.7998686142669449,0.5837019315853247
hive-0.9.0,smote,standard,Árbol de Decisión,40,35,17,192,0.6060606060606061,0.5333333333333333,0.7017543859649122,0.8458149779735683,0.18309859154929578,0.7746348249478321,0.6413615696632264
hive-0.9.0,smote,robust,SVM,46,61,11,166,0.5609756097560976,0.42990654205607476,0.8070175438596491,0.7312775330396476,0.2535211267605634,0.8136641162377309,0.5000800905734355
hive-0.9.0,smote,robust,Naive Bayes Gaussiano,7,5,50,222,0.2028985507246377,0.5833333333333334,0.12280701754385964,0.9779735682819384,0.1936619718309859,0.7885848983692711,0.5289794402027519
hive-0.9.0,smote,robust,Árbol de Decisión,41,36,16,191,0.6119402985074627,0.5324675324675324,0.7192982456140351,0.8414096916299559,0.18309859154929578,0.7812427544632506,0.6518267894285757
jruby-1.1,unbalanced,standard,SVM,10,4,7,126,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.9692307692307692,0.07482993197278912,0.82579185520362,0.5829028118898794
jruby-1.1,unbalanced,standard,Naive Bayes Gaussiano,11,6,6,124,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.8773755656108597,0.62298371018965
jruby-1.1,unbalanced,standard,Árbol de Decisión,9,4,8,126,0.6,0.6923076923076923,0.5294117647058824,0.9692307692307692,0.08163265306122448,0.7920814479638008,0.6508043193967563
jruby-1.1,unbalanced,robust,SVM,17,130,0,0,0.2073170731707317,0.11564625850340136,1.0,0.0,0.8843537414965986,0.8832579185520363,0.6500782368203509
jruby-1.1,unbalanced,robust,Naive Bayes Gaussiano,2,0,15,130,0.21052631578947367,1.0,0.11764705882352941,1.0,0.10204081632653061,0.8773755656108597,0.6556937795302415
jruby-1.1,unbalanced,robust,Árbol de Decisión,9,4,8,126,0.6,0.6923076923076923,0.5294117647058824,0.9692307692307692,0.08163265306122448,0.7920814479638008,0.6508043193967563
jruby-1.1,csbboost,standard,SVM,11,13,6,117,0.5365853658536586,0.4583333333333333,0.6470588235294118,0.9,0.1292517006802721,0.8434389140271493,0.5313452922419825
jruby-1.1,csbboost,standard,Naive Bayes Gaussiano,11,8,6,122,0.6111111111111112,0.5789473684210527,0.6470588235294118,0.9384615384615385,0.09523809523809523,0.8800904977375565,0.6129620954502142
jruby-1.1,csbboost,standard,Árbol de Decisión,12,15,5,115,0.5454545454545454,0.4444444444444444,0.7058823529411765,0.8846153846153846,0.1360544217687075,0.855656108597285,0.6231352122581855
jruby-1.1,csbboost,robust,SVM,12,35,5,95,0.375,0.2553191489361702,0.7058823529411765,0.7307692307692307,0.272108843537415,0.7384615384615385,0.3308475459928722
jruby-1.1,csbboost,robust,Naive Bayes Gaussiano,1,0,16,130,0.1111111111111111,1.0,0.058823529411764705,1.0,0.10884353741496598,0.8624434389140271,0.6086406429310512
jruby-1.1,csbboost,robust,Árbol de Decisión,12,15,5,115,0.5454545454545454,0.4444444444444444,0.7058823529411765,0.8846153846153846,0.1360544217687075,0.855656108597285,0.6231352122581855
jruby-1.1,hcbou,standard,SVM,8,9,9,121,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.9307692307692308,0.12244897959183673,0.7782805429864253,0.4621957373238076
jruby-1.1,hcbou,standard,Naive Bayes Gaussiano,11,6,6,124,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.9013574660633484,0.6570769948990228
jruby-1.1,hcbou,standard,Árbol de Decisión,11,16,6,114,0.5,0.4074074074074074,0.6470588235294118,0.8769230769230769,0.14965986394557823,0.7619909502262443,0.5476412787337157
jruby-1.1,hcbou,robust,SVM,10,12,7,118,0.5128205128205128,0.45454545454545453,0.5882352941176471,0.9076923076923077,0.1292517006802721,0.820814479638009,0.4227323413382955
jruby-1.1,hcbou,robust,Naive Bayes Gaussiano,1,0,16,130,0.1111111111111111,1.0,0.058823529411764705,1.0,0.10884353741496598,0.8710407239819005,0.6130260551841972
jruby-1.1,hcbou,robust,Árbol de Decisión,11,16,6,114,0.5,0.4074074074074074,0.6470588235294118,0.8769230769230769,0.14965986394557823,0.7619909502262443,0.5476412787337157
jruby-1.1,smote,standard,SVM,7,6,10,124,0.4666666666666667,0.5384615384615384,0.4117647058823529,0.9538461538461539,0.10884353741496598,0.8547511312217195,0.4830974540816045
jruby-1.1,smote,standard,Naive Bayes Gaussiano,11,6,6,124,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.8895927601809954,0.6318855660811948
jruby-1.1,smote,standard,Árbol de Decisión,10,7,7,123,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.9461538461538461,0.09523809523809523,0.7671945701357467,0.6120448179271709
jruby-1.1,smote,robust,SVM,16,76,1,54,0.29357798165137616,0.17391304347826086,0.9411764705882353,0.4153846153846154,0.5238095238095238,0.8153846153846154,0.2673992628154727
jruby-1.1,smote,robust,Naive Bayes Gaussiano,1,0,16,130,0.1111111111111111,1.0,0.058823529411764705,1.0,0.10884353741496598,0.8755656108597285,0.6092910687920592
jruby-1.1,smote,robust,Árbol de Decisión,10,8,7,122,0.5714285714285714,0.5555555555555556,0.5882352941176471,0.9384615384615385,0.10204081632653061,0.7633484162895928,0.5957049486461252
wicket-1.3.0-beta2,unbalanced,standard,SVM,3,43,23,284,0.08333333333333333,0.06521739130434782,0.11538461538461539,0.8685015290519877,0.18696883852691218,0.49976476123265107,0.12245745806179151
wicket-1.3.0-beta2,unbalanced,standard,Naive Bayes Gaussiano,10,25,16,302,0.32786885245901637,0.2857142857142857,0.38461538461538464,0.9235474006116208,0.11614730878186968,0.7696424370736297,0.2887024937666024
wicket-1.3.0-beta2,unbalanced,standard,Árbol de Decisión,5,20,21,307,0.19607843137254902,0.2,0.19230769230769232,0.9388379204892966,0.11614730878186968,0.5974476593742648,0.24378216708300182
wicket-1.3.0-beta2,unbalanced,robust,SVM,24,306,2,21,0.1348314606741573,0.07272727272727272,0.9230769230769231,0.06422018348623854,0.8725212464589235,0.5035285815102329,0.08954185609491666
wicket-1.3.0-beta2,unbalanced,robust,Naive Bayes Gaussiano,10,25,16,302,0.32786885245901637,0.2857142857142857,0.38461538461538464,0.9235474006116208,0.11614730878186968,0.7694071983062809,0.28858516157299574
wicket-1.3.0-beta2,unbalanced,robust,Árbol de Decisión,6,20,20,307,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.9388379204892966,0.11331444759206799,0.5848035756292637,0.2590978426672478
wicket-1.3.0-beta2,csbboost,standard,SVM,26,302,0,25,0.14689265536723164,0.07926829268292683,1.0,0.0764525993883792,0.8555240793201133,0.7277111267936957,0.14503948966231367
wicket-1.3.0-beta2,csbboost,standard,Naive Bayes Gaussiano,10,28,16,299,0.3125,0.2631578947368421,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.7749353093389791,0.330527977554532
wicket-1.3.0-beta2,csbboost,standard,Árbol de Decisión,8,33,18,294,0.23880597014925373,0.1951219512195122,0.3076923076923077,0.8990825688073395,0.14447592067988668,0.6033874382498235,0.27690288016412523
wicket-1.3.0-beta2,csbboost,robust,SVM,25,294,1,33,0.14492753623188406,0.07836990595611286,0.9615384615384616,0.10091743119266056,0.8356940509915014,0.7198306280875088,0.12833658617678415
wicket-1.3.0-beta2,csbboost,robust,Naive Bayes Gaussiano,10,28,16,299,0.3125,0.2631578947368421,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.7752881674900024,0.3305611391056221
wicket-1.3.0-beta2,csbboost,robust,Árbol de Decisión,8,33,18,294,0.23880597014925373,0.1951219512195122,0.3076923076923077,0.8990825688073395,0.14447592067988668,0.6033874382498235,0.27690288016412523
wicket-1.3.0-beta2,hcbou,standard,SVM,19,105,7,222,0.25333333333333335,0.1532258064516129,0.7307692307692307,0.6788990825688074,0.31728045325779036,0.7747588802634674,0.2612872846409893
wicket-1.3.0-beta2,hcbou,standard,Naive Bayes Gaussiano,10,23,16,304,0.3389830508474576,0.30303030303030304,0.38461538461538464,0.9296636085626911,0.11048158640226628,0.7886379675370502,0.30499055812405024
wicket-1.3.0-beta2,hcbou,standard,Árbol de Decisión,15,87,11,240,0.234375,0.14705882352941177,0.5769230769230769,0.7339449541284404,0.2776203966005666,0.7904610679840038,0.3223542870601694
wicket-1.3.0-beta2,hcbou,robust,SVM,21,130,5,197,0.23728813559322035,0.1390728476821192,0.8076923076923077,0.6024464831804281,0.38243626062322944,0.7638202775817454,0.23880108390822982
wicket-1.3.0-beta2,hcbou,robust,Naive Bayes Gaussiano,8,20,18,307,0.2962962962962963,0.2857142857142857,0.3076923076923077,0.9388379204892966,0.10764872521246459,0.7321806633733238,0.24018517208886012
wicket-1.3.0-beta2,hcbou,robust,Árbol de Decisión,15,87,11,240,0.234375,0.14705882352941177,0.5769230769230769,0.7339449541284404,0.2776203966005666,0.7904610679840038,0.3223542870601694
wicket-1.3.0-beta2,smote,standard,SVM,26,296,0,31,0.14942528735632185,0.08074534161490683,1.0,0.09480122324159021,0.8385269121813032,0.7552340625735121,0.16548064041483293
wicket-1.3.0-beta2,smote,standard,Naive Bayes Gaussiano,11,27,15,300,0.34375,0.2894736842105263,0.4230769230769231,0.9174311926605505,0.11898016997167139,0.772994589508351,0.30298609744959754
wicket-1.3.0-beta2,smote,standard,Árbol de Decisión,10,47,16,280,0.24096385542168675,0.17543859649122806,0.38461538461538464,0.8562691131498471,0.17847025495750707,0.6146788990825688,0.18613090298642704
wicket-1.3.0-beta2,smote,robust,SVM,25,292,1,35,0.1457725947521866,0.07886435331230283,0.9615384615384616,0.10703363914373089,0.830028328611898,0.7288873206304399,0.13525381172362155
wicket-1.3.0-beta2,smote,robust,Naive Bayes Gaussiano,10,28,16,299,0.3125,0.2631578947368421,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.775229357798165,0.3012290447534304
wicket-1.3.0-beta2,smote,robust,Árbol de Decisión,10,47,16,280,0.24096385542168675,0.17543859649122806,0.38461538461538464,0.8562691131498471,0.17847025495750707,0.6146788990825688,0.18613090298642704
